Words,Accuracy
0,CD
Says,VBZ
the,DT
Annies,NNPS
List,NNP
political,JJ
group,NN
support,NN
...,:
1,CD
When,WRB
do,VBP
the,DT
decline,NN
of,IN
coal,NN
start,NN
?,.
It,PRP
start,VBD
...,:
2,CD
Hillary,NNP
Clinton,NNP
agree,VBP
with,IN
John,NNP
McCain,NNP
``,``
by,IN
vo,NN
...,:
3,CD
Health,NNP
care,NN
reform,NN
legislation,NN
be,VB
likely,JJ
to,TO
ma,VB
...,:
4,CD
The,DT
economic,JJ
turnaround,NN
start,NN
at,IN
the,DT
end,NN
of,IN
...,:
5,CD
The,DT
Chicago,NNP
Bears,NNP
have,VBP
have,VBN
more,RBR
start,JJ
quart,NN
...,:
6,CD
Jim,NNP
Dunnam,NNP
have,VBP
not,RB
live,VBN
in,IN
the,DT
district,NN
he,PRP
re,VBD
...,:
7,CD
I,PRP
'm,VBP
the,DT
only,JJ
person,NN
on,IN
this,DT
stage,NN
who,WP
have,VBP
work,NN
...,:
8,CD
However,RB
",",","
it,PRP
take,VBP
$,$
19.5,CD
million,CD
in,IN
Oregon,NNP
Lotte,NNP
...,:
9,CD
Says,NNPS
GOP,NNP
primary,JJ
opponents,NNS
Glenn,NNP
Grothman,NNP
and,CC
...,:
10,CD
For,IN
the,DT
first,JJ
time,NN
in,IN
history,NN
",",","
the,DT
share,NN
of,IN
th,NN
...,:
11,CD
Since,IN
2000,CD
",",","
nearly,RB
12,CD
million,CD
Americans,NNPS
have,VBP
s,VBN
...,:
12,CD
When,WRB
Mitt,NNP
Romney,NNP
be,VB
governor,NN
of,IN
Massachusetts,NNP
...,:
13,CD
The,DT
economy,NN
bleed,VBD
$,$
24,CD
billion,CD
due,JJ
to,TO
the,DT
govern,NN
...,:
14,CD
Most,JJS
of,IN
the,DT
(,(
Affordable,NNP
Care,NNP
Act,NNP
),)
have,VBP
already,RB
...,:
15,CD
In,IN
this,DT
last,JJ
election,NN
in,IN
November,NNP
",",","
...,:
63,CD
perc,NN
...,:
16,CD
McCain,NNP
oppose,JJ
requirement,NN
that,IN
the,DT
governme,NN
...,:
17,CD
U.S.,NNP
Rep.,NNP
Ron,NNP
Kind,NNP
",",","
D-Wis.,NNP
",",","
and,CC
his,PRP$
fellow,JJ
Dem,NNP
...,:
18,CD
Water,NNP
rat,NN
in,IN
Manila,NNP
",",","
Philippines,NNP
",",","
be,VB
raise,NN
...,:
19,CD
Almost,$
"100,000",CD
people,NNS
leave,VBP
Puerto,NNP
Rico,NNP
last,JJ
year,NN
.,.
20,CD
Women,NNS
and,CC
men,NNS
both,DT
be,VB
make,VBP
less,JJR
when,WRB
you,PRP
ad,NN
...,:
21,CD
The,DT
United,NNP
States,NNPS
have,VBP
the,DT
highest,JJS
corporate,JJ
ta,NN
...,:
22,CD
We,PRP
just,RB
have,VBP
the,DT
best,JJS
year,NN
the,DT
auto,NN
industr,NN
...,:
23,CD
Says,NNPS
Scott,NNP
Walker,NNP
favor,NN
cut,VBD
up,RB
to,TO
"350,000",CD
...,:
24,CD
Says,NNPS
Mitt,NNP
Romney,NNP
want,VBP
to,TO
get,VB
rid,JJ
of,IN
Planned,JJ
P,NNP
...,:
25,CD
I,PRP
dont,VBP
know,VB
who,WP
(,(
Jonathan,NNP
Gruber,NNP
),)
be,VB
.,.
26,CD
Hate,NNP
crimes,NNS
against,IN
American,JJ
Muslims,NNP
and,CC
mosqu,NN
...,:
27,CD
Rick,NNP
Perry,NNP
have,VBP
never,RB
lose,VBP
an,DT
election,NN
and,CC
rema,NN
...,:
28,CD
ISIS,NNP
supporter,NN
tweet,NN
at,IN
10:34,CD
a.m,NN
.,.
Shooting,VBG
...,:
29,CD
Youth,NNP
unemployment,NN
in,IN
minority,NN
communities,NNS
be,VB
...,:
...,:
120,CD
After,IN
Britains,NNS
vote,VBP
to,TO
leave,VB
the,DT
European,JJ
Unio,NNP
...,:
121,CD
Medicaid,NNP
spend,VBP
decline,NN
by,IN
1.9,CD
percent,NN
in,IN
2,CD
...,:
122,CD
Says,VBZ
88,CD
Texas,NNP
constables,NNS
have,VBP
die,VBN
in,IN
the,DT
line,NN
...,:
123,CD
Gov,NNP
.,.
Rick,NNP
Scott,NNP
cut,VBD
the,DT
cost,NN
of,IN
prepay,NN
colleg,NN
...,:
124,CD
The,DT
city,NN
of,IN
Columbus,NNP
would,MD
save,VB
$,$
41,CD
million,CD
...,:
125,CD
As,IN
Florida,NNP
's,POS
CFO,NNP
",",","
I,PRP
shut,VBP
down,RP
Krakow,NNP
's,POS
scam,NN
an,DT
...,:
126,CD
You,PRP
have,VBP
more,JJR
women,NNS
get,VBP
computer,NN
sciences,NNS
d,VBP
...,:
127,CD
The,DT
Air,NNP
Force,NNP
want,VBP
taxpayers,NNS
to,TO
fund,VB
fantas,NNS
...,:
128,CD
Barack,NNP
Hussein,NNP
Obama,NNP
will,MD
...,:
force,VB
court,NN
to,TO
...,:
129,CD
About,IN
3,CD
percent,NN
of,IN
murder,NN
and,CC
crimes,NNS
be,VB
comm,NNS
...,:
130,CD
Some,DT
neighborhood,NN
school,NN
be,VB
close,RB
.,.
131,CD
He,PRP
tell,VB
gay,JJ
organizers,NNS
in,IN
Massachusetts,NNP
he,PRP
wou,VBD
...,:
132,CD
The,DT
years,NNS
that,IN
I,PRP
be,VB
speaker,VBN
",",","
the,DT
Florida,NNP
Hous,NNP
...,:
133,CD
We,PRP
be,VB
already,RB
almost,RB
halfway,NN
to,TO
our,PRP$
2010,CD
goal,NN
...,:
134,CD
Says,VBZ
the,DT
U.S.,NNP
Supreme,NNP
Court,NNP
find,VBP
that,IN
Social,NNP
...,:
135,CD
SaysMichael,NNP
Bennet,NNP
want,VBP
to,TO
close,VB
Guantanamo,NNP
B,NNP
...,:
136,CD
Oregonians,NNPS
have,VBP
an,DT
amaze,JJ
no-cost,JJ
way,NN
to,TO
figh,VB
...,:
137,CD
The,DT
president,NN
say,VBP
hes,NNS
go,VBP
to,TO
bring,VB
in,IN
"250,0",CD
...,:
138,CD
Research,NNP
show,NN
that,IN
vast,JJ
majority,NN
of,IN
arrivin,NN
...,:
139,CD
Newt,NNP
Gingrichs,NNP
immigration,NN
plan,NN
offer,VBP
new,JJ
d,NN
...,:
140,CD
Mr.,NNP
Caprio,NNP
be,VB
career,VBN
politician,NN
who,WP
have,VBP
neve,NNS
...,:
141,CD
In,IN
Rhode,NNP
Island,NNP
",",","
9,CD
percent,NN
of,IN
workers,NNS
use,VBP
the,DT
...,:
142,CD
In,IN
just,RB
17,CD
years,NNS
",",","
spend,VBP
Social,NNP
Security,NNP
...,:
143,CD
President,NNP
Obama,NNP
take,VB
more,JJR
money,NN
from,IN
Wall,NNP
Stre,NNP
...,:
144,CD
Donald,NNP
Trump,NNP
have,VBP
say,VBN
nuclear,JJ
proliferation,NN
be,VB
...,:
145,CD
Hillary,NNP
Clinton,NNP
have,VBP
take,VBN
over,RP
$,$
"800,000",CD
from,IN
l,NN
...,:
146,CD
Barack,NNP
Obama,NNP
have,VBP
never,RB
even,RB
work,NN
in,IN
business,NN
.,.
147,CD
Says,VBZ
the,DT
Arizona,NNP
immigration,NN
law,NN
expressly,RB
ban,JJ
...,:
148,CD
Says,NNPS
Gov,NNP
.,.
Rick,NNP
Perry,NNP
have,VBP
be,VB
beg,VBN
the,DT
...,:
149,CD
On,IN
the,DT
VA,NNP
:,:
Over,IN
"300,000",CD
veterans,NNS
have,VBP
die,VBN
wai,NNS
...,:
Name,NN
:,:
Summary,NNP
",",","
dtype,NN
:,:
object,NN
